id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,stats,tags,description
6738801,,Musée du Fer,,,,REICHSHOFFEN,France,fr,open,,,,,,2011,payant:572;gratuit:512;label-date:01/02/2003,label:musee de france,
6743701,1801327289,Musée du Château des Rohan,,Place du Général de Gaulle,67700,Saverne,France,fr,open,48.7418466,7.3639083,,,,2011,payant:4678;gratuit:4176;label-date:01/02/2003,label:musee de france,
6803601,685084692,Musée Gallo-Romain,,Rue des Capucins,68600,Biesheim,France,fr,open,48.039525,7.5455969,,,,2011,payant:693;gratuit:1844;label-date:01/02/2003,label:musee de france,
6811201,70325197,Musée Théodore Deck et des Pays du Florival,1,Rue du 4 Février,68500,Guebwiller,France,fr,open,47.90581675,7.215371294817073,,,,2011,payant:1388;gratuit:4189;label-date:01/02/2003,label:musee de france,
6822403,449007880,Musée National de l'Automobile - Collection Schlumpf,,Autodrome du Musée de l'Automobile,68100,Mulhouse,France,fr,open,47.7612848,7.327971551196445,,,,2011,payant:150491;gratuit:22045;label-date:01/02/2003,label:musee de france,
6834701,,Musée du Sapeur Pompier d'Alsace,,,,MULHOUSE,France,fr,closed,,,,,,2011,payant:0;gratuit:0;label-date:01/02/2003,label:musee de france,
6827801,1936849476,Musée du Papier Peint,28,Rue Zuber,68170,Rixheim,France,fr,open,47.7444268,7.3972851,,,,2011,payant:6256;gratuit:4414;label-date:01/02/2003,label:musee de france,
6834301,261857352,Ecomusée d'Alsace,,Chemin des Remparts,68190,Ungersheim,France,fr,open,47.85306625,7.2871333354354615,,,,2011,payant:180774;gratuit:0;label-date:01/02/2003,label:musee de france,
2403701,369318223,Musée du Tabac,,Place du Feu,24100,Bergerac,France,fr,open,44.84971,0.4837602,,,,2011,payant:1703;gratuit:1683;label-date:01/02/2003,label:musee de france,
2429901,3136128949,Musée des Arts et Traditions Populaires du Périgord,1,Rue Raoul Grassin,24400,Mussidan,France,fr,open,45.0375278,0.362942,,,,2011,payant:1062;gratuit:613;label-date:01/02/2003,label:musee de france,
2431101,,Musée Départemental de la Poupée et du Jouet,,,,NONTRON,France,fr,closed,,,,,,2011,payant:0;gratuit:0;label-date:01/02/2003,label:musee de france,
2432203,75346425,Musée Gallo-Romain de Vesunna,,Rue 26e Régiment d'Infanterie,24000,Périgueux,France,fr,open,45.179478599999996,0.7132096320585205,,,,2011,payant:18665;gratuit:11695;label-date:23/10/2009,label:musee de france,
3306309,79979931,Centre National Jean Moulin,,Place Jean Moulin,33000,Bordeaux,France,fr,open,44.83869155,-0.5776727923278906,,,,2011,payant:0;gratuit:23378;label-date:01/02/2003,label:musee de france,
4008801,5223344896,Musée de Borda,11 bis,Rue des Carmes,40100,Dax,France,fr,open,43.7105638,-1.0538641,,,,2011,payant:2671;gratuit:6757;label-date:01/02/2003,label:musee de france,
4019401,102618114,Musée de la Chalosse,480,Chemin du Sala,40380,Montfort-en-Chalosse,France,fr,open,43.71570595,-0.8337172286260439,,,,2011,payant:7856;gratuit:2612;label-date:01/02/2003,label:musee de france,
4028201,5825880178,Musée d'Art et d'Histoire du Cap de Gascogne,,Rue du Général Lamarque,40500,Saint-Sever,France,fr,open,43.7585204,-0.5718845,,,,2011,payant:0;gratuit:800;label-date:01/02/2003,label:musee de france,
4028701,26246232,Musée Municipal du Lac,,Allée du Musée,40460,Sanguinet,France,fr,open,44.4825995,-1.0754788,,,,2011,payant:2023;gratuit:153;label-date:01/02/2003,label:musee de france,
4700101,,Musée des Beaux-Arts,,,,AGEN,France,fr,open,,,,,,2011,payant:7366;gratuit:16261;label-date:01/02/2003,label:musee de france,
4715701,155714123,Musée Municipal Albert Marzelles,,Rue Abel Boyé,47200,Marmande,France,fr,open,44.4988715,0.1660289087830012,,,,2011,payant:0;gratuit:4771;label-date:01/02/2003,label:musee de france,
4716701,3110116210,Musée du Liège et du Bouchon,,Rue du Puits,47170,Mézin,France,fr,open,44.0564056,0.2561249,,,,2011,payant:4298;gratuit:905;label-date:05/07/2006,label:musee de france,
6444501,,Musée Municipal des Beaux-Arts,,,,PAU,France,fr,open,,,,,,2011,payant:39836;gratuit:0;label-date:01/02/2003,label:musee de france,
0319501,,Musée Rieckotter,,,,NERIS-LES-BAINS,France,fr,open,,,,,,2011,payant:900;gratuit:620;label-date:01/02/2003,label:musee de france,
0331002,90587179,Musée des Arts D'Afrique et D'Asie,16,Avenue Thermale,03200,Vichy,France,fr,open,46.128228,3.419954892380618,,,,2011,payant:1932;gratuit:1549;label-date:01/02/2003,label:musee de france,
1501401,2085157238,Musée des Sciences,,Rue des Fourmillères,15120,Lacapelle-del-Fraisse,France,fr,open,44.7599649,2.4617902,,,,2011,payant:4630;gratuit:8600;label-date:01/02/2003,label:musee de france,
1518702,243472225,Musée d'art et d'histoire Alfred Douët,,Place d'Armes,15100,Saint-Flour,France,fr,open,45.0340635,3.095191787174098,,,,2011,payant:1354;gratuit:1374;label-date:01/02/2003,label:musee de france,
4307001,4398955697,Musée de Paléontologie,,Rue du Château,43380,Chilhac,France,fr,open,45.1559183,3.4375593,,,,2011,payant:2087;gratuit:263;label-date:01/02/2003,label:musee de france,
4311701,,Musée des Arts et Traditions Populaires de Haute Loire,,,,LAVAUDIEU,France,fr,open,,,,,,2011,payant:9831;gratuit:663;label-date:01/02/2003,label:musee de france,
6301001,4008056943,Musée de la Dentelle,,Ancienne Route Nationale,63220,Arlanc,France,fr,open,45.4143324,3.7244768,,,,2011,payant:1065;gratuit:73;label-date:01/02/2003,label:musee de france,
6311303,67552132,Muséum d'Histoire Naturelle Henri-Lecoq,15,Rue Bardoux,63000,Clermont-Ferrand,France,fr,open,45.774145950000005,3.0884366874758022,,,,2011,payant:2348;gratuit:15165;label-date:06/01/2002,label:musee de france,
6324501,6579420423,Musée Lapidaire,,Rue de l'Abbaye,63200,Mozac,France,fr,open,45.8903834,3.0944753,,,,2011,payant:188;gratuit:126;label-date:01/02/2003,label:musee de france,
